C_CUSTKEY	C_NAME	C_ADDRESS	C_NATIONKEY	C_PHONE	C_ACCTBAL	C_MKTSEGMENT	C_COMMENT
1127	Customer#000001127	nq1w3VhKie4I3ZquEIZuz1 5CWn	10	20-830-875-6204	8631.35	AUTOMOBILE	special ideas nod blithely even instructions. slyly regular pin
1128	Customer#000001128	72XUL0qb4,NLmfyrtzyJlR0eP	0	10-392-200-8982	8123.99	BUILDING  	furiously ironic asymptotes thrash bravely. final packages use regular multipliers. unus
1129	Customer#000001129	OMEqYv,hhyBAObDjIkoPL03BvuSRw02AuDPVoe	8	18-313-585-9420	6020.02	HOUSEHOLD 	daring, ironic ideas are blithely. furiously bold foxes after the furiously express accounts
1130	Customer#000001130	60zzrBpFXjvHzyv0WObH3h8LhYbOaRID58e	22	32-503-721-8203	9519.36	HOUSEHOLD 	furiously bold asymptotes mold after the requests. fluffily express theodolites sleep blithely arou
1131	Customer#000001131	KVAvB1lwuN qHWDDPNckenmRGULDFduxYRSBXv	20	30-644-540-9044	6019.1	MACHINERY 	unusual deposits haggle quickly across the blithely ironic packages. ironic deposits print 
1132	Customer#000001132	6dcMOh60XVGcGYyEP	22	32-953-419-6880	4962.12	AUTOMOBILE	furiously bold pinto beans cajole along the qu
1133	Customer#000001133	FfA0o cMP02Ylzxtmbq8DCOq	14	24-858-762-2348	5335.36	MACHINERY 	ruthlessly even theodolites according to the 
1134	Customer#000001134	79TYt94ty a	9	19-832-924-7391	8458.26	HOUSEHOLD 	daringly bold depths across the unusual, regular orbits are regul
1135	Customer#000001135	cONv9cxslXOefPzhUQbGnMeRNKL1x,m2zlVOj	11	21-517-852-3282	3061.78	FURNITURE 	blithely silent requests cajole slyly regu
1136	Customer#000001136	GHCEiSK0TKsOncuJT3,2zSvlZW4Pz	24	34-440-798-1100	-723.49	FURNITURE 	furiously regular pinto beans nag carefully across the bold deposits. instructions wake slyly bold
1137	Customer#000001137	LJ3J3i0BlPLrhKi6VabXxNrtpLAGH	16	26-598-565-1269	4210.15	AUTOMOBILE	blithely close accounts sleep furiously bold accounts. final ideas wake furiously regularly final pinto beans
1138	Customer#000001138	8 9P,dIGWnrrDiVs0S	22	32-236-817-2959	6035.44	BUILDING  	slyly pending requests might 
1139	Customer#000001139	UDGG69rYgUGayNk 9vFytd5q3nZdeRZQNSfL6	22	32-182-662-9475	4604.83	BUILDING  	silent deposits sleep. dependencies doze against the f
1140	Customer#000001140	leG5nToZpjmWNeaOsVv	20	30-331-754-7359	6319.21	AUTOMOBILE	blithely even packages are fluffily unusu
1141	Customer#000001141	A6uzuXpgRPp19ek8K8zd5O	22	32-330-618-9020	0.97	MACHINERY 	carefully final foxes cajole. instructions 
1142	Customer#000001142	b7ytiiX7E9	16	26-191-682-8920	3273.08	AUTOMOBILE	dolphins boost across the quickly ironic theodolites. packages by the silent platelets
1143	Customer#000001143	9tfTGdYHyZXtXbbeboPIXwCT	4	14-568-471-9747	8655.98	AUTOMOBILE	quickly final packages wake pending,
1144	Customer#000001144	DGLUWG9evYLNbYhOXVzqZ LdfIMVfBjDf	1	11-336-453-4489	4189.04	BUILDING  	blithely regular frets haggle blit
1145	Customer#000001145	6R rPD6SDQPpFuYxxwh,Dv1PeusmP,C6cNcI	2	12-270-756-2968	3249.25	HOUSEHOLD 	even requests wake quickly. ruthlessly regular packages cajole furiousl
1146	Customer#000001146	DRBYvF0iBGsDC3iPNFsPHq3FkU,jCK8LJPX4W	12	22-720-237-1751	4204.36	FURNITURE 	ironic epitaphs affix furiously slyly final packages. slyly ironic pinto beans along the final, express requests im
1147	Customer#000001147	AVjlczwVwL CT jO3sgWn	15	25-754-809-7107	7734.64	HOUSEHOLD 	furiously unusual packages along
1148	Customer#000001148	7PslyqtS1K2Pabjht 4qgaZ1BbSNFfz6QiK4K	19	29-393-445-2761	7129.84	AUTOMOBILE	furiously ironic foxes haggle furiously dependencies. ev
1149	Customer#000001149	5JOAwCy8MD70TUZJDyxgEBMe	3	13-254-242-3889	6287.79	MACHINERY 	quickly regular ideas wake against the blithely ironic requests. slyly unusual theodolites do bo
1150	Customer#000001150	fUJqzdkQg1	21	31-236-665-8430	-117.31	MACHINERY 	quickly final ideas nag ironic dolphins: furiously ironic dolphins cajole boldly around the quickly
1151	Customer#000001151	ratQBQ4rYv TfhWfHe	7	17-948-135-2667	6354.89	BUILDING  	quickly regular requests wake carefully at the express, regular requests. spe
1152	Customer#000001152	QRmFl9ZkoBDQ7	12	22-471-341-5516	5680.15	HOUSEHOLD 	express, special packages x-ray. silent account
1153	Customer#000001153	SYG3KMj1fMh7GwvIZ,pY7mGLR1NT6EmNjE	3	13-319-420-5160	6244.03	HOUSEHOLD 	furiously final instructions according to the regular requests wake pending deposits. regular requests cajole s
1154	Customer#000001154	7RqtNwcSPbaUKaC	19	29-797-132-6916	1498.46	BUILDING  	blithely regular excuses wake even, regular instructions. carefully regular excuses kindle about the carefu
1155	Customer#000001155	kEDBn1IQWyHyYjgGGs6FiXfm3	8	18-864-953-3058	3510.25	MACHINERY 	carefully silent ideas sleep along the fluffily regular deposits. blithely ironic requests use blit
1156	Customer#000001156	3ShFbt9dTbLOG4lUBvc1AZp0Tam0BNjYS qwTZ	14	24-637-724-1410	1799.67	HOUSEHOLD 	slyly even packages sleep furiously express, ironic packages: quickly bo
1157	Customer#000001157	3rchTZwilGpffMz1MfpnkFfWBtOIdgmvvS1E7sJj	20	30-741-794-9826	6013.09	HOUSEHOLD 	quickly regular multipliers are. blithely quiet requests cajole furiously among the slyly express de
1158	Customer#000001158	btAl2dQdvNV9cEzTwVRloTb08sLYKDopV2cK,p	10	20-487-747-8857	3081.79	MACHINERY 	carefully silent deposits across the ironi
1159	Customer#000001159	IAnWq4YFKs7	2	12-269-807-3861	5553.75	HOUSEHOLD 	final asymptotes are about the blithely pend
1160	Customer#000001160	v65g1aRCGA76ZHySoOBffL31n4vJ0nm,tK,UEA	24	34-103-942-4634	4976.24	AUTOMOBILE	bold, even deposits are. even braids haggle? silent deposits wake about the furiously regular deposits. qu
1161	Customer#000001161	 QD7s2P6QpCC6g9t2aVzKg7y	19	29-213-663-3342	591.31	MACHINERY 	even accounts affix slyly ironic requests. blithely
1162	Customer#000001162	b5N12h9D6yJemoVx6OQf0uL	2	12-887-115-9986	3139.71	AUTOMOBILE	ideas are carefully pending instru
1163	Customer#000001163	54fBdElRYOjEH8S	2	12-204-803-1483	90.22	BUILDING  	even requests integrate after the fi
1164	Customer#000001164	XWfNRnO2S5KAW0VodNwaBDixCEtv nKzt2LVFiwm	0	10-828-178-5049	7341.35	HOUSEHOLD 	furiously ironic requests x-ray never about the bold multip
1165	Customer#000001165	h7KTXGSqsn0	9	19-766-409-6769	8177.33	MACHINERY 	blithely ironic instructions against the regularly bold instru
1166	Customer#000001166	W4FAGNPKcJFebzldtNp8SehhH3	17	27-869-223-7506	507.26	MACHINERY 	carefully ironic deposits aft
1167	Customer#000001167	gNYGOcGkJu3ooSmsCh	19	29-721-479-1548	9510.87	FURNITURE 	silent, even packages sleep carefully about the furiously regular ideas. express pinto beans ac
1168	Customer#000001168	gmAnpwPPg0LX4	17	27-608-883-2632	6194.65	FURNITURE 	fluffily pending platelets are slyly even depende
1169	Customer#000001169	04YQNIYyRRFxUnJsTP36da	4	14-975-169-9356	7503.3	MACHINERY 	daring, bold requests sleep slyly. even, regular theodo
1170	Customer#000001170	BNhssVcV36vshEHUAc aPFJ	8	18-670-628-8499	2070.73	HOUSEHOLD 	slyly silent warthogs boost. unusual packages cajole silent packages. special ideas cajole deposi
1171	Customer#000001171	GatOC LsLU9MkgyaNMYH	8	18-457-394-2863	7658.97	HOUSEHOLD 	ironic requests are? packages wake carefully quickly even id
1172	Customer#000001172	r dreL8m8cRaiIz IqZ83oMo,AVxe2PbsHQzK	14	24-249-588-1969	420.97	FURNITURE 	express accounts sleep slyly. ironic pint
1173	Customer#000001173	6Abj72jR5Z0GYQMZKBmiQxW	18	28-409-365-6392	182.59	FURNITURE 	quiet, ironic warthogs about the express Tiresias boost closely across the carefully
1174	Customer#000001174	 b9zecNS,J97qi7Qk5	4	14-131-930-7154	8798.96	AUTOMOBILE	regular, regular foxes detect furiously ironic excuses. slyly ironic frays a
1175	Customer#000001175	olj7nLYgBZ526MNBg9CV7w LYo6F1uD,Hm54	4	14-756-259-6379	9207.16	FURNITURE 	express, unusual platelets alongside of the bl
1176	Customer#000001176	V0xc0tXNMmObuUJ0rGARp6YIw4fo84CD	10	20-141-903-5936	5827.59	BUILDING  	requests are regular asymptotes. slyly daring packages after th
1177	Customer#000001177	hZPNQ8a9QRM ,SYdTdoW9hw	14	24-200-701-8606	9281.72	FURNITURE 	furiously regular asymptotes against the regul
1178	Customer#000001178	W,03Nl2iWQ94xYyCo3R8CTMNFhu	9	19-717-739-3103	4966.58	HOUSEHOLD 	quickly express accounts cajole. even, silent courts about the slyly unusual
1179	Customer#000001179	JLtS3n1xDqnNFS5MZc5uZHOjDctAJEl	19	29-311-833-9211	3336.25	AUTOMOBILE	ruthless, fluffy patterns around the quietly special decoys boost along the regular foxes. express, even
1180	Customer#000001180	jI4QtviiCs0,LOgUPH4aONMnoNt	13	23-188-767-6645	3367.36	BUILDING  	slyly ironic pinto beans sleep furiously about the carefully express platelets. even
1181	Customer#000001181	ZFFYipzTg0vSjOhPbcBUgPK9se	10	20-330-305-8843	9180.5	AUTOMOBILE	ironic asymptotes are blithely. slyly dogged platelets cajole c
1182	Customer#000001182	pLrF7F1,uoyGaU	6	16-229-473-7194	8814.39	AUTOMOBILE	ironic foxes at the slyly pending ideas integrate carefully doggedly regular accounts-- blithely ironic a
1183	Customer#000001183	qdIqRUfpmvtWo0NGsyi4qyjkwzlImP9,NrSC	1	11-968-244-9275	4455.76	BUILDING  	slyly ironic foxes boost above the final packages. furiously express accounts across the slyly even pack
1184	Customer#000001184	M0dd3R30k0YjIr4GVeo	11	21-661-875-1923	9032.89	BUILDING  	carefully final dolphins haggle above the blithely even requests. slyly regular accounts nag fur
1185	Customer#000001185	z,dN83fETWpkJkoR	14	24-860-751-6688	2913.52	BUILDING  	careful, final accounts wake among the furiousl
1186	Customer#000001186	cj5EeLbJJ6MPdynzposq,Apbj9 2Jm	23	33-500-965-3385	4466.3	BUILDING  	accounts wake blithely. ironic theodolites sleep quickly along the regul
1187	Customer#000001187	W1GdUKr3vQMVAZIU	10	20-543-260-5157	-932.96	AUTOMOBILE	furiously even accounts play slyly about the furiously regular dependencies! deposits according to t
1188	Customer#000001188	PtwoF3jNQ9r6 GbPIelt GvbNBuDH	15	25-108-989-8154	3698.86	MACHINERY 	final, pending requests boost furiously. quickly regular accounts cajole. fluf
1189	Customer#000001189	rbnZCbJSTE3qWLl	10	20-746-804-1553	3798.28	HOUSEHOLD 	dependencies are even accounts. slyly ironic courts haggle fluffily unusual pinto beans. even foxes about t
1190	Customer#000001190	JwzW9OtxFRXDnVo5hXl8 2A5VxH12	15	25-538-604-9042	2743.63	MACHINERY 	fluffily regular requests across the accounts affix furiously careful requests. slyly regular instruct
1191	Customer#000001191	K9J7dhIXDB2kgubtIVdRC6RP0aF,GQXin	19	29-587-244-2901	9088.54	AUTOMOBILE	accounts affix quickly regular packages. blithely ironic requests h
1192	Customer#000001192	8DbtM3KloBZ4OO1dRrF99	20	30-904-936-4914	3231.33	BUILDING  	fluffily regular requests alongside of the bold, ironic foxes w
1193	Customer#000001193	gdKqrIp,yaMaQSFerrGGzc6Kpy	8	18-524-487-2547	-17.1	AUTOMOBILE	carefully final deposits are slyly across the special inst
1194	Customer#000001194	NzWKbiPK1oFd7PNz	21	31-155-275-3981	7582.29	FURNITURE 	foxes nag fluffily. blithely regular 
1195	Customer#000001195	71mmXvaWKf	4	14-355-801-7486	9621.49	FURNITURE 	ironic, ironic accounts sleep around the fin
1196	Customer#000001196	S3sw3q SDWVuUoEFvwv9M	20	30-615-967-7758	6378.67	BUILDING  	express packages around the final asymptotes haggle carefully against the carefully bold requests. c
1197	Customer#000001197	9A1LTDf0KbR	0	10-254-891-7835	9261.05	FURNITURE 	bold deposits impress carefully ironic, final requests. regular accounts use abo
1198	Customer#000001198	r0liwpMwaIBQ9 zQjojGylXkJuKUL	18	28-278-515-1034	9593.35	AUTOMOBILE	quickly final grouches hinder slyly. quickly regular requests are about the quickl
1199	Customer#000001199	sQJZJRAgYrZY0gPo9fJp6KAbY	16	26-367-212-1737	6503.35	AUTOMOBILE	bravely regular foxes are. express theodolites cajole quickl
1200	Customer#000001200	2PFysvL4pk80l	22	32-890-210-4199	3765.05	HOUSEHOLD 	furiously bold packages was around the ironic, ironic requests. regular, ironic 
1201	Customer#000001201	LfCSVKWozyWOGDW02g9UX,XgH5YU2o5ql1zBrN	10	20-825-400-1187	5165.39	BUILDING  	fluffily final grouches doubt. bold dependencies dazzle caref
1202	Customer#000001202	xThQDiKdG,0sU IduCCPAgHJfx1PDJwtUQvfU	0	10-788-256-6117	702.73	BUILDING  	dogged, even requests integrate ironic packages. ideas use slyly. carefully ironic d
1203	Customer#000001203	9pTq4gggfKoSqQetn0yJR	16	26-370-660-6154	5787.69	MACHINERY 	carefully pending theodolites boos
1204	Customer#000001204	QxpCVhq2x0PwW,zgZ AEuFkgb50ryGM	20	30-117-472-8751	9777.19	HOUSEHOLD 	packages along the deposits play according to the express requests. furiousl
1205	Customer#000001205	1ALD7GN4Iw0Vl5toeM	8	18-185-307-2678	5390.34	HOUSEHOLD 	asymptotes after the quickly ironic deposits cajole among the carefully final excuses. bravely 
1206	Customer#000001206	dxzjW0gykcG2kJ gN8hZV02q6U5T6uVNfP	20	30-716-117-6066	8437.76	HOUSEHOLD 	slyly unusual ideas haggle blithely carefully unusual p
1207	Customer#000001207	tDZe2FlIxGjrf9x,n6N1tu0DbWyUkSSu	3	13-572-474-7362	-556.05	AUTOMOBILE	silent foxes are carefully carefu
1208	Customer#000001208	M uLSFG6IrQkKQxrH5vCbPjglIpB3JC	5	15-789-973-6601	2426.52	BUILDING  	ironically bold requests sublate ironic, express packages. iron
1209	Customer#000001209	PW00geNpQOiug6dftXfBkpwdAfsmRYsve,b44uR8	4	14-664-771-9006	3551.21	HOUSEHOLD 	packages nag silent packages. blithely ironic deposits sleep
1210	Customer#000001210	bUTLW1KIHzzQkuOEwUMwEGCQfTQM7aBmUM0	16	26-202-315-9048	8137.66	AUTOMOBILE	accounts haggle slyly even acc
1211	Customer#000001211	HCACb3Al89h6NqHUJ8qIjhfGFyA4S0c2	18	28-280-785-7324	4723.37	HOUSEHOLD 	packages boost quickly. carefully daring theodolites breach. thinly final requests kindle carefu
1212	Customer#000001212	kjiVLfadsq6sU3A6MYwySu XZnWzgkiWSa9v3K 6	22	32-462-274-7707	7736.03	HOUSEHOLD 	ironic dependencies boost quietly slyly final warthogs. idly regular theodolites cajole carefully along the e
1213	Customer#000001213	4ATLYSTcqLfgAJLxL7U	7	17-548-151-7684	8555.12	HOUSEHOLD 	fluffily pending Tiresias sublate requests; quietly even deposits haggle. ironic accounts wake furiously! slyl
1214	Customer#000001214	EATpN6m rGunAAkWFNSpsqy	4	14-281-851-2904	2935.31	BUILDING  	carefully regular patterns are carefully. quickly pending accounts cajole p
1215	Customer#000001215	oAvLu8VcRg9FNS9sNmoqU9	16	26-405-743-5405	7795.87	MACHINERY 	even, silent accounts doze blithely. furiously final tithes use blithely about the regular, special ideas. s
1216	Customer#000001216	CSf1BbFhJhucmvftOwYLQACMEqgXj	3	13-673-633-4561	2155.06	AUTOMOBILE	slyly pending platelets wake regular accounts. carefully busy de
1217	Customer#000001217	ddk4YC7lmTM,Z3LbX	12	22-191-580-2887	6019.32	FURNITURE 	final theodolites according to the slyly final deposits boost among the fluf
1218	Customer#000001218	JYNvUpFG0dDy7aJNhl2zLyIxUGqZZ35ncUe	22	32-299-871-1751	8801.73	AUTOMOBILE	fluffily special deposits are quickly slyly ev
1219	Customer#000001219	kP1xK5be a8tW5JRSq0nwJWgKbO	4	14-364-661-8744	774.23	FURNITURE 	furiously express pinto beans are bold deposits. carefully final requests haggle carefully? unu
1220	Customer#000001220	tbyect2HMX47TzsKy5 ho5	18	28-379-869-1009	8429.33	FURNITURE 	carefully even foxes wake slyly across the bold, final requests? slyly unusual 
1221	Customer#000001221	4mmeiymVdRmz	22	32-185-876-3586	816.5	FURNITURE 	furiously even accounts cajole busily slyly ironic foxes. blithely unusual notornis haggle blithely. furiously bold 
1222	Customer#000001222	hn6SzlP4Dq8F89iOXH0tjIgsz0uBCiBM	11	21-709-519-4959	3883.18	AUTOMOBILE	ironic ideas around the regular excuses believe final, even ideas. req
1223	Customer#000001223	,I0bRfCGE5ssaX4V3	11	21-659-745-8411	-413.03	BUILDING  	even, unusual dependencies thrash. iro
1224	Customer#000001224	PWOwgZKsBoFJQ7py4HJpdJoSO2,	8	18-794-312-9970	8124.15	HOUSEHOLD 	slyly ironic pinto beans wake fluffily. ironic, final deposits boost 
1225	Customer#000001225	CgaNokxe s	11	21-839-103-4411	8634.92	MACHINERY 	blithely unusual requests wake carefully expr
1226	Customer#000001226	HKR1zog fXW	0	10-251-221-9440	2135.92	FURNITURE 	carefully even foxes are. regular, bold requests haggle. carefully express packages
1227	Customer#000001227	GiT5IrOJ1zJTZErbFt1Jy6Gj	23	33-468-642-3107	3335.72	FURNITURE 	final, regular instructions x-ray against the slyl
1228	Customer#000001228	fV,ZM6pj1nivvbnfseVaWRkB0UYwKgvv	12	22-778-955-6105	5392.3	AUTOMOBILE	regularly even accounts wake. iron
1229	Customer#000001229	csvrfGKxtX	9	19-313-452-6076	8328.12	FURNITURE 	regular pinto beans above the carefully final excuses cajole quickly along the slyly final request
1230	Customer#000001230	Pr7yxcRne6NiloD1oR,d28rwVFRnOoTWeYq9	23	33-786-129-3407	4787.85	MACHINERY 	silently silent packages sleep quickly regular requests.
1231	Customer#000001231	qJWtxdKmKWcR5XgMDn	9	19-316-348-3289	2326.68	AUTOMOBILE	quickly bold dolphins sleep blithely r
1232	Customer#000001232	yYXdTto04oLlk04SM	18	28-518-320-7417	8482.51	MACHINERY 	blithely pending foxes wake across the furiously bold dependencies. regular asymptotes
1233	Customer#000001233	KdmXav1IIIo	15	25-522-912-6255	3649.49	MACHINERY 	never regular instructions promise. quickly pendi
1234	Customer#000001234	B3OhbH0MRJE,F0Lc7Jq0Ttv3	1	11-742-434-6436	-982.32	FURNITURE 	carefully pending instructions a
1235	Customer#000001235	q 1E JKZqhvUzj48	24	34-549-333-8551	-982.05	BUILDING  	fluffily regular instructions slee
1236	Customer#000001236	pTEEPYlnQBzi558CN7LJ5UTdvO	11	21-699-526-9355	3600.95	MACHINERY 	finally special platelets among the carefully regular asymptotes wake carefully silent, special accounts. f
1237	Customer#000001237	 CQEeqR ,cVU7Bby	20	30-415-666-7691	8156.62	BUILDING  	requests wake about the furiously final packages. carefully regular requests lose quickly slyly
1238	Customer#000001238	HGCJI27,RIIQcS20,DcJbMQuUmN3Vhzdm	6	16-302-171-7578	4299.22	BUILDING  	carefully ironic Tiresias use. even requests are fluffily carefully unusual warhorses. even theodol
1239	Customer#000001239	,K7wNII9jhC ,	20	30-786-518-4678	6936.72	FURNITURE 	special deposits haggle quickly against the instructions. blithely pending pinto be
1240	Customer#000001240	XbvhyAXRkuujtESRmxeD9eQpYSkiCa	4	14-650-555-5310	5439.44	FURNITURE 	carefully final instructions nag; blithely bold packages wake blit
1241	Customer#000001241	74mW8ipfvoVPR3PS	3	13-902-876-1609	8654.56	HOUSEHOLD 	packages wake. carefully pending theodolites nag above the quickly regular instructions? blithely bold accounts wak
1242	Customer#000001242	mA8bUqB6WqNEe2nsQXlaHqMqaACj	2	12-521-364-1211	2276.15	BUILDING  	furiously express instructions sleep regular theodolites. blithely regular platelets grow furiously. reg
1243	Customer#000001243	g,qSvyYkgjDcCL cxx5qy8hAwhomRq9cYJRvXZ6	14	24-445-165-9851	6271.38	MACHINERY 	quickly regular instructions are furiously furious deposits. platelets haggle slyly.
1244	Customer#000001244	I3DrbiKwP3dxs1jF0iDwXh	5	15-881-433-2257	-942.8	BUILDING  	carefully ironic dependencies haggle regular, special deposits? furiously special dolphins boos
1245	Customer#000001245	 xLnSgzY70qTKPF753	4	14-500-764-3702	3196.66	FURNITURE 	furiously special dependencies cajole blithely against the carefully slow ideas. quickly even depths h
1246	Customer#000001246	acguUq5BISzqjHB7Bt	4	14-882-141-9354	260.71	BUILDING  	busily final deposits sleep slyly packages. regular requests haggle furiously upon th
1247	Customer#000001247	q5,Og3ezW3jSUtbwK 6qLJPqPwCwdL	0	10-386-173-3167	1696.95	MACHINERY 	final pinto beans use slyly furiously regular requests! expres
1248	Customer#000001248	f0X68bItSl	8	18-692-669-1536	6539.15	AUTOMOBILE	instructions haggle. blithely special theodolites haggle carefully carefully final dinos.
1249	Customer#000001249	x9ukZnNiUM5pBPXyE3epagewVQBPZzxGYD6sMH	7	17-866-269-1165	448.49	BUILDING  	furiously silent accounts wake c
1250	Customer#000001250	LBPszo9EVA88sbbdYl7E,MVm7UvoBjmjr	9	19-509-608-4350	780.05	AUTOMOBILE	carefully regular pinto beans
1251	Customer#000001251	4AjU4c4D4AMLwQx,lAJGwBIgmT7oSZwYUv0es3J	24	34-741-256-6399	7267.76	MACHINERY 	carefully ironic packages are furiously above the unusual courts. blithely express deposits wake carefully across
1252	Customer#000001252	u2OUDBxaayX4WhrftcM,	12	22-604-782-7617	3279.84	MACHINERY 	even, pending packages run quickly. foxes after the blit
1253	Customer#000001253	2rEfA2LR6LkUXjoMxIsv58YSHPMjlqr1YXhHSX	1	11-900-587-2067	1222.21	BUILDING  	express requests wake above the enticing waters. carefully ironic theodol
1254	Customer#000001254	wdGz5Cm DrSdF	18	28-832-851-4673	2676.06	HOUSEHOLD 	furiously enticing packages snooze against the special, pending dependencies. idly final depos
1255	Customer#000001255	UC6I32JjBU62t4WgDe e2pDYbuM3VAt4MPM	14	24-359-633-2713	6487.71	FURNITURE 	unusual, regular excuses use fluffily. blithely bold instructions haggle enticingl
1256	Customer#000001256	sNx4HcJ35paZik,IN02G7p	15	25-306-342-4782	5012.07	MACHINERY 	carefully ironic requests alongside
1257	Customer#000001257	kX6yufw5dfKrgwQPVwWE7	2	12-824-451-8526	8810.83	HOUSEHOLD 	slyly regular deposits x-ray carefully. even instructions play slyly blithely pending dugouts. special, iro
1258	Customer#000001258	zK3TKgKVuFCBdjt	3	13-727-588-7092	-301.75	AUTOMOBILE	idle packages will have to sleep according to the pending pinto beans. furiously bold accounts are-- fl
1259	Customer#000001259	 YQc2RRQJV7kl1zxWg4OiUVU 5GlpB	20	30-930-620-7210	8353	HOUSEHOLD 	quickly pending packages use carefully requests. regular ideas haggle quickly. furiou
1260	Customer#000001260	npdrgr5Yqp0znvQt,Cw07j4BS22RNIANcb3t	2	12-742-408-2980	4991.59	MACHINERY 	furiously special dependencies are blithely. deposits snooze fluffily. asymptote
1261	Customer#000001261	mWs6m9QwmTOZ	20	30-372-895-4261	5579.81	BUILDING  	carefully bold accounts about the final package
1262	Customer#000001262	u39WRGDI6AKU	3	13-444-583-3984	2840.36	MACHINERY 	unusual foxes since the regular foxes haggle about the blith
1263	Customer#000001263	MXA4v0xQ9Kt 	9	19-690-614-5736	6975.9	MACHINERY 	sometimes fluffy tithes among the carefully i
1264	Customer#000001264	vC1Yg5q O9  Tt5SM7OF	16	26-617-707-6647	3959.28	MACHINERY 	slyly pending requests boost slyly pinto beans.
1265	Customer#000001265	CTbTIB ZTYyKUSY42Ksz F33fxKsSG	24	34-945-256-3226	2653.53	MACHINERY 	deposits are blithely above the slyly regular ins
1266	Customer#000001266	LW7shrnoCLUjJKQI8EF7SIFofvvIUmiJzpdS	3	13-832-768-3873	1877.05	MACHINERY 	carefully regular theodolites boost. pinto beans haggle along th
1267	Customer#000001267	o3dtauyIeWwFRok2whWam0MLjmOdlG1H	24	34-329-328-2500	8616.12	BUILDING  	slyly ironic instructions integrate. furiously unusual packages detect courts. regular instruct
1268	Customer#000001268	SHn6HpO2VXBw3RJFPxjQFGanrsndRwRR2LWdm	24	34-973-735-5374	5152.42	BUILDING  	requests boost blithely. ironic, regular requests snooze. accounts sleep idly about the regularly ironic
1269	Customer#000001269	j2hwJHCMprK8HQdK7DpeUx5SG8j4dfuNR	10	20-818-485-8060	2659.68	BUILDING  	ironic packages mold blithely throughout the quickly regular packag
1270	Customer#000001270	HPcuKCEtUzP3np7 oDR	13	23-473-283-1422	6170.06	MACHINERY 	carefully regular ideas are above the ironic packages. express requests cajole carefully after the flu
1271	Customer#000001271	S7fmHdkot3JAv	14	24-698-342-2768	1209.37	HOUSEHOLD 	courts wake blithely. slyly special sentim
1272	Customer#000001272	hzMO9cmypW	21	31-659-617-1632	6865.14	FURNITURE 	fluffily express requests affix fu
1273	Customer#000001273	6RglRQdIV9mF8Tn6ABFmSQl	12	22-594-567-9307	1499.56	AUTOMOBILE	deposits boost carefully among the pending platelets. carefully quiet packages sleep; unusual foxes sl
1274	Customer#000001274	eHJnE7ytBm	24	34-152-721-6307	126.97	AUTOMOBILE	final, express ideas about the quickly even theodol
1275	Customer#000001275	KUtV3oFy2Kyuzs4zT DB,S	20	30-410-174-2034	8972.46	MACHINERY 	furiously ironic pinto beans haggle along the furiously
1276	Customer#000001276	c5UAVe71MPvmerPafNlpvTBWCewT	16	26-809-582-2064	-761.7	AUTOMOBILE	ironic, unusual dolphins hang quickly. even theodolites cajole quickly slyly regular accounts. deposits boost. 
1277	Customer#000001277	2ETOoQWtvxqp	14	24-502-746-4128	-52.35	BUILDING  	furiously silent accounts ought to impress slyly. regular, ironic foxes according to the special,
1278	Customer#000001278	OB JBXz5fghXsYEaClW8PZpDmxMVZct	5	15-253-270-5149	9038.43	HOUSEHOLD 	slyly regular platelets according to the blithely final foxes wake
1279	Customer#000001279	fkrzLacsqCnwUwgjjttKmY	14	24-742-587-6985	7915.06	BUILDING  	slyly pending deposits against the special, final platelets wake quickly through the carefully 
1280	Customer#000001280	3AmBFWaqOYt7F	16	26-725-573-7255	3419.66	HOUSEHOLD 	carefully ironic requests during the accounts sleep slyly a
1281	Customer#000001281	pekyJqzeIQKGO8TeLvXgH8HR	11	21-124-963-7614	8182.42	AUTOMOBILE	carefully regular excuses wake. quickly final Tiresias alongside of the ironic accounts affix furiously about
1282	Customer#000001282	qeYHABkf21,5C5OC5it6q	14	24-750-627-7414	8998.82	FURNITURE 	blithely ironic forges cajole 
1283	Customer#000001283	6JeLWEtDERPB,0KzWB,I6Xs8rJXAC8ryFulW5NPC	0	10-203-771-2219	2222.71	AUTOMOBILE	unusual ideas according to the quickly pending accounts shall have to boost c
1284	Customer#000001284	sdj PCsILD6mOJfEuIIbrN52hOHTYWwUUPT	18	28-750-346-1442	-911.4	BUILDING  	furiously express ideas against the special do
1285	Customer#000001285	5Hy,ajDzJPtZFeJedRSeLN7XGOJtyUy2FI93	19	29-424-835-1463	3061.58	HOUSEHOLD 	carefully even ideas hinder carefully. spec
1286	Customer#000001286	FP3aFvhRMSKfCz3l0h	12	22-374-932-9860	6906.08	MACHINERY 	carefully pending ideas cajole regular requests. slyly
1287	Customer#000001287	8CaksGsCJOK3oUm1kUsQ	15	25-493-734-3918	7461.69	MACHINERY 	blithely final courts across the carefully express foxes haggle slyly among th
1288	Customer#000001288	wQDTTCkSGxic2d66	3	13-533-256-9320	6603.43	HOUSEHOLD 	even pinto beans use fluffily according to the express, regular requests. carefully even instructions thrash r
1289	Customer#000001289	OGb4YMkool8QMr	24	34-409-591-4324	2925.52	MACHINERY 	final, special instructions haggle blithely; quickly silent accounts cajole after the fluffil
